secs, cad, hr, km, kph, nm, watts, alt, lon, lat, headwind, slope, temp, interval, lrbalance, lte, rte, lps, rps, smo2, thb, o2hb, hhb
169,11,130.75,0.0937475,0,0,0,0,0,0,0,0,-2.97502e+45,0,-255,0,0,0,0,0,0,0,0
170,16.5,131.125,0.0946613,0,0,0,0,0,0,0,0,-5.35504e+45,0,-255,0,0,0,0,0,0,0,0
171,22,131.5,0.095575,0,0,0,0,0,0,0,0,-9.63906e+45,0,-255,0,0,0,0,0,0,0,0
172,27.5,131.875,0.0964888,0,0,0,0,0,0,0,0,-1.73503e+46,0,-255,0,0,0,0,0,0,0,0
173,33,132.25,0.0974025,0,0,0,0,0,0,0,0,-3.12306e+46,0,-255,0,0,0,0,0,0,0,0
174,38.5,132.625,0.0983163,0,0,0,0,0,0,0,0,-5.6215e+46,0,-255,0,0,0,0,0,0,0,0
175,44,133,0.09923,0,0,0,0,0,0,0,0,-1.01187e+47,0,-255,0,0,0,0,0,0,0,0
176,43.6667,133.556,0.100132,0.3528,0,0,0,0,0,0,0,-1.82137e+47,0,-255,0,0,0,0,0,0,0,0
177,43.3333,134.111,0.101034,0.7056,0,0,0,0,0,0,0,-3.27846e+47,0,-255,0,0,0,0,0,0,0,0
178,43,134.667,0.101937,1.0584,0,0,0,0,0,0,0,-5.90123e+47,0,-255,0,0,0,0,0,0,0,0
179,42.6667,135.222,0.102839,1.4112,0,0,0,0,0,0,0,-1.06222e+48,0,-255,0,0,0,0,0,0,0,0
180,42.3333,135.778,0.103741,1.764,0,0,0,0,0,0,0,-1.912e+48,0,-255,0,0,0,0,0,0,0,0
181,42,136.333,0.104643,2.1168,0,0,0,0,0,0,0,-3.4416e+48,0,-255,0,0,0,0,0,0,0,0
182,41.6667,136.889,0.105546,2.4696,0,0,0,0,0,0,0,-6.19487e+48,0,-255,0,0,0,0,0,0,0,0
183,41.3333,137.444,0.106448,2.8224,0,0,0,0,0,0,0,-1.11508e+49,0,-255,0,0,0,0,0,0,0,0
184,41,138,0.10735,3.1752,0,0,0,0,0,0,0,-2.00714e+49,0,-255,0,0,0,0,0,0,0,0
185,42.3333,137.5,0.108228,3.2862,0,0,0,0,0,0,0,-3.61285e+49,0,-255,0,0,0,0,0,0,0,0
186,43.6667,137,0.109107,3.3972,0,0,0,0,0,0,0,-6.50313e+49,0,-255,0,0,0,0,0,0,0,0
187,45,136.5,0.109985,3.5082,0,0,0,0,0,0,0,-1.17056e+50,0,-255,0,0,0,0,0,0,0,0
188,46.3333,136,0.110863,3.6192,0,0,0,0,0,0,0,-2.10701e+50,0,-255,0,0,0,0,0,0,0,0
189,47.6667,135.5,0.111742,3.7302,0,0,0,0,0,0,0,-3.79262e+50,0,-255,0,0,0,0,0,0,0,0
190,49,135,0.11262,3.8412,0,0,0,0,0,0,0,-6.82672e+50,0,-255,0,0,0,0,0,0,0,0
191,48,133.5,0.11366,3.7548,0,0,0,0,0,0,0,-1.22881e+51,0,-255,0,0,0,0,0,0,0,0
192,47,132,0.1147,3.6684,0,0,0,0,0,0,0,-2.21186e+51,0,-255,0,0,0,0,0,0,0,0
193,42.3,132.3,0.114895,3.30156,0,0,0,0,0,0,0,-3.98134e+51,0,-255,0,0,0,0,0,0,0,0
194,37.6,132.6,0.11509,2.93472,0,0,0,0,0,0,0,-7.16642e+51,0,-255,0,0,0,0,0,0,0,0
195,32.9,132.9,0.115285,2.56788,0,0,0,0,0,0,0,-1.28996e+52,0,-255,0,0,0,0,0,0,0,0
196,28.2,133.2,0.11548,2.20104,0,0,0,0,0,0,0,-2.32192e+52,0,-255,0,0,0,0,0,0,0,0
197,23.5,133.5,0.115675,1.8342,0,0,0,0,0,0,0,-4.17946e+52,0,-255,0,0,0,0,0,0,0,0
198,18.8,133.8,0.11587,1.46736,0,0,0,0,0,0,0,-7.52302e+52,0,-255,0,0,0,0,0,0,0,0
199,14.1,134.1,0.116065,1.10052,0,0,0,0,0,0,0,-1.35414e+53,0,-255,0,0,0,0,0,0,0,0
200,9.4,134.4,0.11626,0.73368,0,0,0,0,0,0,0,-2.43746e+53,0,-255,0,0,0,0,0,0,0,0
201,4.7,134.7,0.116455,0.36684,0,0,0,0,0,0,0,-4.38742e+53,0,-255,0,0,0,0,0,0,0,0
202,0,135,0.11665,0,0,0,0,0,0,0,0,-7.89736e+53,0,-255,0,0,0,0,0,0,0,0
203,14.3333,136,0.117317,1.1304,0,0,0,0,0,0,0,-1.42153e+54,0,-255,0,0,0,0,0,0,0,0
204,28.6667,137,0.117983,2.2608,0,0,0,0,0,0,0,-2.55875e+54,0,-255,0,0,0,0,0,0,0,0
205,43,138,0.11865,3.3912,0,0,0,0,0,0,0,-4.60574e+54,0,-255,0,0,0,0,0,0,0,0
206,43.2083,137.875,0.119193,3.40665,0,0,0,0,0,0,0,-8.29034e+54,0,-255,0,0,0,0,0,0,0,0
207,43.4167,137.75,0.119737,3.4221,0,0,0,0,0,0,0,-1.49226e+55,0,-255,0,0,0,0,0,0,0,0
208,43.625,137.625,0.12028,3.43755,0,0,0,0,0,0,0,-2.68607e+55,0,-255,0,0,0,0,0,0,0,0
209,43.8333,137.5,0.120823,3.453,0,0,0,0,0,0,0,-4.83492e+55,0,-255,0,0,0,0,0,0,0,0
210,44.0417,137.375,0.121367,3.46845,0,0,0,0,0,0,0,-8.70286e+55,0,-255,0,0,0,0,0,0,0,0
211,44.25,137.25,0.12191,3.4839,0,0,0,0,0,0,0,-1.56652e+56,0,-255,0,0,0,0,0,0,0,0
212,44.4583,137.125,0.122453,3.49935,0,0,0,0,0,0,0,-2.81973e+56,0,-255,0,0,0,0,0,0,0,0
